created,tweet_text
Sun Oct 24 04:36:09 +0000 2021,"RT @MCU_0range_: 토르 라그나로크에서 로키랑 발키리 전투씬이 기억에 남은 이유. 로키가 정신 지배 능력 사용할 수 있었다는 것 때문에 기억에 남았다. 뭐, 그러고 발키리한테 기절 당했지만 uu.."
Sun Oct 24 04:30:34 +0000 2021,"토르 라그나로크에서 로키랑 발키리 전투씬이 기억에 남은 이유. 로키가 정신 지배 능력 사용할 수 있었다는 것 때문에 기억에 남았다. 뭐, 그러고 발키리한테 기절 당했지만 uu.."
Sun Oct 24 03:54:02 +0000 2021,왜.네가 이것을...라그나로크를 가지고 있는거지?/자동
Sun Oct 24 03:23:59 +0000 2021,라그나로크라고?어떻게..../자동
Sun Oct 24 02:40:01 +0000 2021,유독 라그나로크 비하인드가 많은 거 같은데... 가장 안 풀리긴 했지..... 저때 망토 찢어져서 반망토로 다니는게 너무 좋았던.... https://t.co/PmDVWNJDnx
Sun Oct 24 01:44:24 +0000 2021,"그럼, ""라그나로크""를 일으키는 이 힘으로——
네가 비웃었던 파멸자의 힘으로 이 세상의 약자들을 지켜내겠다——
모두를 제물로 바치는 의식이 진정 신의 뜻이라면——
그럼, 나는 이 곳에서—— 신에게 선전포고를 하겠다."
Sat Oct 23 23:23:48 +0000 2021,로드의 순수한 혈통이 아니라면 라그나로크를 사용하지 못하는 것은 당연하겠지/자동
Sat Oct 23 22:16:51 +0000 2021,우린 라그나로크의 굴레에서 벗어났지. 아스가르드인들은 처음으로 자신들이 운명의 굴레에서 벗어나서 자유가 됐다고 믿고있고.
Sat Oct 23 20:49:08 +0000 2021,".... ..... 어찌 됐든... 나는 이제 탈락자고, 당신은 살아남아있으니까... ... 살아남기를 바랄게. 벌써 여기까지 와버렸잖아. 라그나로크 게임의 본분을 다 하라구. 다들 자기 몸은 지킬 줄 알걸."
Sat Oct 23 18:51:40 +0000 2021,그래... 도적인데 불사신이라 탱커여서 가장 많이 뚫렸었지... 왜 라그나로크에서도 싹 벗긴거야ㅋㅋㅋㄱㅋ 우리 반... 옷 좀 여미고다니렴... 가을이라 춥다... https://t.co/h99F5x6b3D
Sat Oct 23 16:48:49 +0000 2021,유명인이라서 좋겠다~!!그런 사람이 누추한 라그나로크까지 친히 오셨대?
Sat Oct 23 14:40:37 +0000 2021,이제 한동안 이런 유흥거리 즐길 겨를도 없을게다. 다들 라그나로크를 준비해라.
Sat Oct 23 13:53:38 +0000 2021,"@async3619 사용표시용
라그나로크 펜효과 쓰고나면 자기한테 1000댐에 이번턴 전투대미지 절감되서 표시햇어요"
Sat Oct 23 13:02:11 +0000 2021,"RT @atomicBTC: [투자에 관한 story]

요새 투자자/비투자자간의 AT필드같은 것이 형성되어 있어 마침 해당글을 올립니다.

먼저 저의 간략한 소개로 시작합니다.

저는 온라인게임(라그나로크)라는 게임을 중/고/대학교때까지 지속하였습니…"
Sat Oct 23 12:48:43 +0000 2021,"역시 솔로가 더 잘 맞았구나, 당신은... 그래서 화려하게 타오르기 위해서, 다른 사람을 짓밟았어? 그.. 무대에서 있었던 사고. (눈을 느릿하게 깜빡였다.) 맞다면.. 어쩌면 드라마틱한 서사의 클라이막스였을지도. 라그나로크로 추락하는 별이라니.. -"
Sat Oct 23 12:35:50 +0000 2021,"라그나로크 온라인

마비-파판14로 동인 대이동이 있었던것처럼 마비 이전에는 라그가 있었다. 인생게임
사실 내 폰에 라그나로크 오리진 깔려있다. 그때 그시절을 그대로~ 이런 캐치프레이즈를 몇번봤는지 모르겠다… https://t.co/c9vH0pkdTQ"
Sat Oct 23 11:28:35 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 11:26:37 +0000 2021,@Goldrabbit_kr 아 다크스토커즈 레이레이 혹은 라그나로크 무낙인줄 알앗는데 아니셧구나 https://t.co/Lw4AOuWYes
Sat Oct 23 11:23:48 +0000 2021,로드의 순수한 혈통이 아니라면 라그나로크를 사용하지 못하는 것은 당연하겠지/자동
Sat Oct 23 09:25:48 +0000 2021,"..라그나로크가 어디길래 거기에 소속된 이들이 동물원에 이리 많이 오느냐.

......혹시 이몸의 딸기를 노리고...?"
Sat Oct 23 09:01:18 +0000 2021,뭐 라그나로크?
Sat Oct 23 07:10:10 +0000 2021,@shvn7651 라그나로크 슈바르츠 하이퍼액티브 출입금지리마 파티포유
Sat Oct 23 06:40:00 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 06:19:15 +0000 2021,"마아트 : 술을 너무 많이 마시면 중독이 된다는게 정말이야?
티르: 그런거 뻥이야~ 나도 라그나로크 전날까지 매일 마시고 있었는데 중독같은거 안 됐어!
라슈누: (...그걸 중독이라고 하지 않나)"
Sat Oct 23 05:51:19 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 05:33:13 +0000 2021,@poop_ping 라그나로크 토르 나와서 좋음ㅋ 잘생겻잔아
Sat Oct 23 05:14:29 +0000 2021,......라그나로크나 다시 일으켜버릴까..
Sat Oct 23 04:18:05 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 03:54:01 +0000 2021,왜.네가 이것을...라그나로크를 가지고 있는거지?/자동
Sat Oct 23 03:47:48 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 03:24:06 +0000 2021,라그나로크라고?어떻게..../자동
Sat Oct 23 02:59:44 +0000 2021,RT @U27688281: 맞아요 라그나로크 이후 발드르는 한쌍의 남녀와 함께 저승에서 올라와 새 세계를 열어가죠
Sat Oct 23 02:53:34 +0000 2021,맞아요 라그나로크 이후 발드르는 한쌍의 남녀와 함께 저승에서 올라와 새 세계를 열어가죠
Sat Oct 23 01:51:14 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 01:44:26 +0000 2021,"그럼, ""라그나로크""를 일으키는 이 힘으로——
네가 비웃었던 파멸자의 힘으로 이 세상의 약자들을 지켜내겠다——
모두를 제물로 바치는 의식이 진정 신의 뜻이라면——
그럼, 나는 이 곳에서—— 신에게 선전포고를 하겠다."
Sat Oct 23 01:41:08 +0000 2021,"이야기는 계속해서 반복되는데
세계의 운명이라는 테피스트리 속에서 로키의 실은 늘 라그나로크와 가까이 엮여있었고... 그로 인해 늘 악역의 위치에 존재하기 쉬운 실이었다는 설정이
몇몇 팬픽에서 나오는데
그게 너무 좋아..."
Sat Oct 23 01:39:01 +0000 2021,"영픽 설정 중에서 진짜 사랑하는 것들 중 하나가
마블 세계관에서 지구에 있는 북유럽신화는 사실 지금의 세계가 탄생하기 전- 그러니까 라그나로크로 세계가 멸망하고 다시 태어나기 전 세계가 남겨놓은 흔적이자 메… https://t.co/UZnipShKL8"
Sat Oct 23 00:55:01 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 00:34:22 +0000 2021,야외 라그나로크!
